20  148.649
21.95  178.064
24.0901  213.068
26.4388  254.623
29.0166  303.818
31.8457  361.863
34.9506  430.078
38.3582  509.877
42.0981  602.722
46.2026  710.067
50.7073  833.279
55.6512  973.524
61.0771  1131.65
67.0321  1308.04
73.5676  1502.46
80.7403  1713.97
88.6124  1940.8
97.252  2180.35
106.734  2429.3
117.14  2683.69
128.561  2939.22
141.096  3191.51
154.853  3436.39
169.951  3670.19
186.521  3889.92
204.706  4093.37
224.665  4279.18
246.569  4446.76
270.61  4596.2
296.994  4728.11
325.95  4843.52
357.73  4943.71
392.608  5030.09
430.887  5104.13
472.898  5167.27
519.005  5220.9
569.607  5266.27
625.143  5304.54
686.094  5336.74
752.987  5363.77
826.402  5386.43
906.976  5405.38
995.405  5421.21
1092.46  5434.43
1198.97  5445.45
1315.87  5454.64
1444.16  5462.29
1584.97  5468.65
1739.5  5473.95
1909.1  5478.36
2095.23  5482.02
2299.51  5485.06
2523.71  5487.59
2769.77  5489.7
3039.82  5491.44
3336.2  5492.89
3661.48  5494.1
4018.47  5495.1
4410.26  5495.93
4840.26  5496.62
5312.18  5497.19
5830.11  5497.67
6398.53  5498.07
7022.38  5498.39
7707.06  5498.67
8458.49  5498.89
9283.18  5499.08
10188.3  5499.24
11181.6  5499.37
12271.8  5499.47
13468.3  5499.56
14781.4  5499.64
16222.6  5499.7
17804.3  5499.75
19540.2  5499.79
21445.3  5499.83
23536.2  5499.86
25831  5499.88
28349.5  5499.9
31113.5  5499.92
34147.1  5499.93
37476.3  5499.94
41130.2  5499.95
45140.4  5499.96
49541.5  5499.97
54371.8  5499.97
59672.9  5499.98
65491  5499.98
71876.3  5499.98
78884.1  5499.99
86575.2  5499.99
95016.2  5499.99
104280  5499.99
114447  5499.99
125606  5499.99
137852  5500
151293  5500
166044  5500
182233  5500
200000  5500
