0  15
1  31
2  31
3  19
4  21
5  23
6  25
7  31
8  19
9  18
10  28
11  32
12  29
13  34
14  46
15  49
16  53
17  86
18  105
19  136
20  186
21  195
22  139
23  95
24  59
25  46
26  29
27  42
28  31
29  32
30  36
31  21
32  30
33  24
34  41
35  23
36  20
37  21
38  30
39  33
40  21
41  25
42  18
43  12
44  19
45  24
46  26
47  31
48  43
49  23
50  39
51  31
52  41
53  34
54  60
55  48
56  51
57  63
58  63
59  70
60  58
61  69
62  77
63  67
64  45
65  38
66  27
67  33
68  25
69  37
70  29
71  28
72  27
73  22
74  25
75  19
76  18
77  17
78  21
79  21
80  21
81  31
82  15
83  23
84  31
85  15
86  25
87  22
88  22
89  21
90  22
91  24
92  18
93  24
94  29
95  32
96  20
97  23
98  12
99  24
