      167.253     0.891304
      167.743      1.73913
      168.233      1.34783
      168.724      1.91304
      169.268      2.06522
      169.759      2.04348
      170.249      2.45652
      170.739      2.91304
      171.284      2.08696
      171.774      2.23913
      172.265      3.67391
      172.755      2.97826
      173.245      4.52174
      173.790      3.13043
      174.226      3.06522
      174.716      3.00000
      175.261      4.34783
      175.751      3.89130
      176.241      4.47826
      176.732      4.58696
      177.222      3.28261
      177.712      2.56522
      178.257      1.71739
      178.747      1.21739
      179.237      1.15217
      179.619     0.760870
