1	27
2	20
3	22
4	33
5	24
6	24
7	27
8	29
9	22
10	31
11	24
12	30
13	30
14	34
15	30
16	22
17	23
18	25
19	25
20	28
21	43
22	53
23	79
24	129
25	189
26	373
27	582
28	442
29	268
30	193
31	179
32	165
33	163
34	151
35	181
36	162
37	162
38	161
39	145
40	156
41	157
42	121
43	121
44	107
45	111
46	105
47	89
48	96
49	83
50	100
51	87
52	70
53	86
54	86
55	84
56	74
57	67
58	70
59	76
60	71
61	81
62	96
63	129
64	149
65	167
66	209
67	258
68	332
69	432
70	547
71	422
72	262
73	132
74	103
75	81
76	71
77	35
78	46
79	36
80	25
81	25
82	34
83	29
84	35
85	25
86	35
87	21
88	26
89	30
90	30
91	36
92	26
93	22
94	30
95	41
96	18
97	32
98	32
99	30
100	33	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
