1	28
2	33
3	32
4	28
5	27
6	20
7	19
8	32
9	20
10	25
11	23
12	29
13	36
14	28
15	29
16	39
17	35
18	37
19	36
20	47
21	56
22	60
23	93
24	103
25	137
26	137
27	139
28	141
29	115
30	97
31	76
32	74
33	70
34	59
35	52
36	52
37	61
38	50
39	52
40	51
41	52
42	56
43	41
44	47
45	45
46	46
47	53
48	54
49	59
50	58
51	40
52	55
53	48
54	55
55	46
56	49
57	59
58	53
59	55
60	60
61	54
62	57
63	57
64	47
65	52
66	71
67	56
68	66
69	63
70	77
71	70
72	80
73	109
74	143
75	156
76	187
77	180
78	177
79	108
80	78
81	80
82	53
83	47
84	39
85	39
86	41
87	30
88	26
89	23
90	27
91	24
92	26
93	30
94	31
95	31
96	35
97	22
98	29
99	21
100	33
