1	15.13272
2	26.97065
3	19.03366
4	20.08544
5	14.99453
6	20.2407
7	15.30051
8	23.84238
9	19.05219
10	25.79775
11	25.79939
12	44.52888
13	52.77149
14	42.7373
15	49.78123
16	37.94893
17	31.95951
18	41.84987
19	50.84136
20	33.91615
21	48.90069
22	46.65622
23	63.13889
24	54.90155
25	46.06606
26	50.86279
27	35.88478
28	15.36316
29	23.90557
30	16.26803
31	11.92655
32	6.98618
33	13.87992
34	14.03246
35	12.98704
36	15.8362
37	16.13855
38	17.04106
39	19.89059
40	15.2493
41	10.00912
42	23.04556
43	14.95839
44	17.9581
45	18.11063
46	15.11765
47	18.26698
48	20.96634
49	16.1756
50	11.08523
