PSR ID	B(deg)	L(deg)	Period(s)	Pdot	Flux(photons/cm^2/s)	LowCut(GeV)	HighCut(GeV)	SpectralIndex	T-Zero(MJD)	Binary(Y/N)	NumBins	Lite1	Lite2	Lite3	Lite4	Lite5	Lite6	Lite7	Lite8	Lite9	Lite10	Lite11	Lite12	Lite13	Lite14	Lite15	Lite16	Lite17	Lite18	Lite19	Lite20	Lite21
GRS01558470	-4.93E+00	6.22E+01	6.34E-01	2.82E-15	1.12E-09	1.00E-01	4.16E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.82E-09	5.35E-09	8.08E-09	5.35E-09	1.82E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00558553	1.15E-01	1.54E+02	1.39E-01	4.42E-16	3.29E-09	1.00E-01	1.05E+02	6.67E-01	5.19E+04	N	21	1.98E-09	2.01E-09	2.12E-09	2.31E-09	2.58E-09	2.94E-09	3.39E-09	3.91E-09	4.42E-09	4.81E-09	4.96E-09	4.81E-09	4.42E-09	3.91E-09	3.39E-09	2.94E-09	2.58E-09	2.31E-09	2.12E-09	2.01E-09	1.98E-09
GRS00559718	-9.73E-01	4.58E+01	2.19E-01	4.71E-16	3.75E-10	1.00E-01	1.02E+02	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.35E-12	9.20E-11	2.63E-10	6.37E-10	1.50E-09	2.49E-09	1.50E-09	6.37E-10	2.63E-10	9.20E-11	6.35E-12	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00560661	-1.88E+00	3.52E+02	2.87E-01	1.04E-15	2.45E-11	1.00E-01	6.85E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.40E-11	9.21E-11	2.77E-10	9.21E-11	1.40E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00560743	1.23E+00	2.17E+01	3.30E-01	2.86E-14	9.20E-11	1.00E-01	1.31E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.87E-10	8.65E-10	4.87E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00560782	5.65E-02	1.35E+01	3.44E-01	4.14E-14	7.16E-11	1.00E-01	1.09E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.12E-12	3.12E-10	7.89E-10	3.12E-10	9.12E-12	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00561471	4.40E-01	3.24E+02	2.63E-01	1.52E-14	8.15E-11	1.00E-01	1.80E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.13E-11	3.36E-10	8.75E-10	3.36E-10	4.13E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00561594	1.09E-01	5.14E+01	2.37E-01	1.85E-15	2.79E-11	1.00E-01	5.15E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.66E-11	2.52E-10	0.00E+00	2.52E-10	2.66E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS11563820	2.74E+00	4.37E+01	4.79E-01	1.56E-15	1.30E-08	1.00E-01	5.60E+01	6.67E-01	5.19E+04	N	21	2.01E-09	2.07E-09	2.26E-09	2.62E-09	3.21E-09	4.18E-09	5.81E-09	8.83E-09	1.54E-08	3.51E-08	9.66E-08	3.51E-08	1.54E-08	8.83E-09	5.81E-09	4.18E-09	3.21E-09	2.62E-09	2.26E-09	2.07E-09	2.01E-09
GRS00566390	5.75E-01	2.97E+02	1.47E+00	5.61E-14	3.08E-11	1.00E-01	9.34E+00	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.16E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00567075	-3.56E-01	2.99E+02	1.72E-01	1.53E-14	2.08E-10	1.00E-01	1.79E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.15E-10	7.38E-10	2.45E-09	7.38E-10	1.15E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00569065	-9.61E-02	3.51E+02	4.13E-01	2.95E-16	2.23E-10	1.00E-01	1.29E+02	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.46E-09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00571818	1.01E+00	2.49E+01	2.99E-01	5.68E-15	7.23E-12	1.00E-01	2.94E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.35E-11	9.77E-11	2.35E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00573675	1.41E+00	9.42E+00	4.54E-01	2.42E-15	1.16E-10	1.00E-01	4.49E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.53E-10	1.41E-09	4.53E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS10576685	2.09E+00	6.53E+01	4.95E-01	6.79E-15	1.12E-08	1.00E-01	2.69E+01	6.67E-01	5.19E+04	N	21	4.57E-09	4.65E-09	4.92E-09	5.41E-09	6.21E-09	7.45E-09	9.41E-09	1.26E-08	1.77E-08	2.48E-08	2.93E-08	2.48E-08	1.77E-08	1.26E-08	9.41E-09	7.45E-09	6.21E-09	5.41E-09	4.92E-09	4.65E-09	4.57E-09
GRS00577869	-2.09E-01	1.43E+00	8.99E-01	2.69E-14	8.39E-11	1.00E-01	1.35E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.71E-11	1.56E-09	5.71E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00580271	-6.03E-01	2.85E+01	1.01E-01	1.02E-16	7.23E-11	1.00E-01	2.19E+02	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.03E-11	7.77E-11	2.71E-10	7.06E-10	2.71E-10	7.77E-11	2.03E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00581291	5.38E-01	3.43E+02	6.21E-01	3.84E-15	1.24E-11	1.00E-01	3.57E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.48E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00583437	8.53E-01	3.04E+02	2.94E-01	4.93E-15	1.28E-11	1.00E-01	3.15E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.60E-12	5.76E-11	1.32E-10	5.76E-11	4.60E-12	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00584281	-7.91E-01	8.60E+00	4.30E-01	4.48E-15	3.28E-12	1.00E-01	3.31E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.80E-11	2.95E-11	1.80E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00584881	-1.87E+00	4.98E+00	6.79E-01	1.72E-15	1.74E-12	1.00E-01	5.33E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.48E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00589735	-3.13E-01	3.56E+02	4.50E-01	1.14E-14	5.31E-13	1.00E-01	2.07E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.06E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00592065	8.79E-01	2.63E+02	5.53E-01	1.92E-14	7.77E-11	1.00E-01	1.59E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.14E-11	1.39E-10	3.37E-10	5.19E-10	3.37E-10	1.39E-10	4.14E-11	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00593600	-2.72E+00	2.97E+01	1.61E-01	4.73E-16	8.93E-11	1.00E-01	1.02E+02	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.73E-10	4.29E-10	5.81E-10	4.29E-10	1.73E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS00594465	1.67E+00	3.62E+01	2.54E-01	2.05E-14	6.49E-10	1.00E-01	1.55E+01	6.67E-01	5.19E+04	N	21	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.75E-10	5.71E-09	0.00E+00	5.71E-09	7.75E-10	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
GRS01595435	1.45E+00	3.42E+02	5.25E-01	7.74E-15	7.73E-09	1.00E-01	2.51E+01	6.67E-01	5.19E+04	N	21	3.27E-09	3.33E-09	3.53E-09	3.90E-09	4.48E-09	5.38E-09	6.77E-09	8.92E-09	1.22E-08	1.63E-08	1.86E-08	1.63E-08	1.22E-08	8.92E-09	6.77E-09	5.38E-09	4.48E-09	3.90E-09	3.53E-09	3.33E-09	3.27E-09
