0	6005.768495	1000.728971	3305.825079	9.460164575	-6.5	279.4601646	-1.533592154e-015	9.460164575	28.5	-73.4311108	28.69208033	562.6398737
30	5965.057659	1225.011741	3304.031855	11.06440001	-6.512987958	281.1584052	0.8233568092	11.60517289	28.48312643	-75.45077689	28.67509304	562.6234873
60	5917.893193	1447.969006	3298.654128	12.66786091	-6.551926378	282.8570271	1.646561861	13.74881023	28.43254017	-77.46907199	28.62416585	562.5744422
90	5864.326149	1669.359394	3289.697732	14.26978117	-6.616739226	284.5564168	2.469455962	15.88971677	28.34834434	-79.48463631	28.53940256	562.493079
120	5804.414508	1888.943228	3277.172384	15.86941137	-6.707300865	286.2569714	3.291865155	18.02655487	28.23070986	-81.49613218	28.42097527	562.37996
150	5738.223115	2106.482786	3261.091673	17.46602678	-6.823437647	287.9591034	4.113593615	20.15801964	28.0798742	-83.50225471	28.26912303	562.2358619
180	5665.823606	2321.742559	3241.473045	19.05893485	-6.964930105	289.6632454	4.93441686	22.28284903	27.89613948	-85.50174187	28.08414999	562.0617652
210	5587.294337	2534.489505	3218.337782	20.64748217	-7.131515661	291.3698538	5.754075378	24.39983321	27.6798702	-87.49338382	27.86642313	561.8588413
240	5502.720294	2744.493303	3191.710986	22.23106079	-7.322891822	293.0794119	6.572268756	26.50782311	27.43149057	-89.47603149	27.61636951	561.6284374
270	5412.193004	2951.526598	3161.621541	23.8091137	-7.538719762	294.792433	7.388650376	28.60573805	27.15148142	-91.44860419	27.33447319	561.3720599
300	5315.810433	3155.365252	3128.102093	25.38113957	-7.778628227	296.5094614	8.202822745	30.6925723	26.84037681	-93.41009622	27.02127184	561.0913562
330	5213.676882	3355.788586	3091.189007	26.94669654	-8.042217678	298.231074	9.014333499	32.76740066	26.49876042	-95.35958218	26.67735308	560.7880953
360	5105.902727	3552.579876	3050.922271	28.50540729	-8.329064973	299.9578815	9.822673202	34.82938559	26.12726122	-97.29622488	26.3033501	560.464148
390	4992.604881	3745.525544	3007.34568	30.0569527	-8.638726155	301.6905191	10.62726846	36.87776952	25.72655155	-99.21926657	25.89993978	560.1214688
420	4873.905806	3934.416964	2960.506457	31.60108565	-8.970743087	303.4296578	11.42748659	38.91189367	25.29734008	-101.1280485	25.46783558	559.7620734
450	4749.933946	4119.049637	2910.455418	33.13762302	-9.324646182	305.1759926	12.22263023	40.93118826	24.8403698	-103.0220008	25.00778547	559.3880219
480	4620.823449	4299.22367	2857.246862	34.66644741	-9.699958831	306.9302407	13.01193806	42.93517544	24.35641348	-104.9006458	24.52056744	559.0014001
510	4486.714024	4474.743998	2800.938515	36.18750608	-10.09620124	308.6931372	13.79458509	44.92346875	23.84626976	-106.7635969	24.00698553	558.6043019
540	4347.750786	4645.420593	2741.591464	37.70080936	-10.51289395	310.4654295	14.56968377	46.89577164	23.31075943	-108.6105575	23.46786604	558.1988145
570	4204.084103	4811.068671	2679.270095	39.20642837	-10.94956108	312.2478712	15.33628559	48.85187533	22.75072172	-110.441319	22.90405386	557.7870031
600	4055.869429	4971.508889	2614.042019	40.70449252	-11.40573312	314.0412149	16.09338344	50.79165608	22.16701089	-112.2557575	22.31640903	557.3708987
630	3903.26714	5126.567544	2545.978002	42.19518647	-11.88094938	315.846205	16.83991442	52.71507196	21.56049305	-114.0538312	21.70580346	556.9524865
660	3746.442357	5276.076757	2475.151885	43.67874701	-12.37476003	317.6635696	17.57476333	54.62215914	20.9320431	-115.8355761	21.07311797	556.5336962
690	3585.56477	5419.874657	2401.640507	45.15545966	-12.88672766	319.4940116	18.29676664	56.513028	20.28254204	-117.6011027	20.41923949	556.1163938
720	3420.808452	5557.805554	2325.523619	46.62565526	-13.41642843	321.3381998	19.00471692	58.38785887	19.61287445	-119.3505914	19.74505857	555.7023748
750	3252.351673	5689.72011	2246.883799	48.08970647	-13.96345287	323.1967598	19.69736783	60.24689774	18.92392624	-121.084288	19.05146709	555.293359
780	3080.376705	5815.4755	2165.806363	49.54802446	-14.52740618	325.0702641	20.37343951	62.09045184	18.21658271	-122.8024999	18.3393563	554.8909863
810	2905.069626	5934.935567	2082.379271	51.00105554	-15.10790818	326.9592224	21.03162441	63.91888525	17.49172677	-124.5055911	17.60961508	554.4968136
840	2726.62012	6047.970966	1996.693032	52.44927814	-15.70459292	328.8640722	21.67059358	65.73261452	16.75023748	-126.1939781	16.8631284	554.1123132
870	2545.221266	6154.459309	1908.840605	53.89319989	-16.3171079	330.7851688	22.28900326	67.53210441	15.99298876	-127.8681258	16.10077608	553.7388717
900	2361.069339	6254.285296	1818.917301	55.33335497	-16.94511299	332.7227764	22.885502	69.3178638	15.2208484	-129.5285429	15.32343176	553.3777899
930	2174.363588	6347.340838	1727.020676	56.77030178	-17.58827918	334.6770587	23.45873797	71.09044167	14.43467719	-131.1757786	14.53196202	553.0302833
960	1985.306024	6433.525174	1633.250429	58.20462088	-18.24628687	336.6480714	24.00736671	72.85042338	13.63532831	-132.810418	13.7272258	552.6974833
990	1794.101204	6512.744985	1537.708288	59.63691322	-18.91882417	338.6357538	24.53005914	74.59842707	12.82364691	-134.4330793	12.91007394	552.3804384
1020	1600.955746	6584.914578	1440.497775	61.06780069	-19.60558584	340.6399258	25.02551044	76.33510266	12.00046868	-136.0444127	12.08134777	552.0801162
1050	1406.079145	6649.955612	1341.724613	62.49791735	-20.30626741	342.6602714	25.4924459	78.06111937	11.16662418	-137.6450872	11.24188344	551.7974069
