         159
      2.00000      2.50000      3.00000      3.50000      4.00000      4.50000
      5.00000      5.50000      6.00000      6.50000      7.00000      7.50000
      8.00000      8.50000      9.00000      9.75000      10.5000      11.2500
      12.0000      12.7500      13.5000      14.2500      15.2500      16.2500
      17.2500      18.2500      19.2500      20.2500      21.2500      22.5000
      23.7500      25.0000      26.2500      27.5000      29.0000      30.5000
      32.0000      33.5000      35.0000      36.7500      38.5000      40.2500
      42.0000      43.7500      45.7500      47.7500      49.7500      51.7500
      54.0000      56.2500      58.5000      61.0000      63.5000      66.0000
      68.7500      71.5000      74.2500      77.2500      80.2500      83.2500
      86.5000      89.7500      93.0000      96.5000      100.000      103.750
      107.500      111.500      115.500      119.750      124.000      128.500
      133.000      137.750      142.500      147.500      152.500      157.750
      163.250      168.750      174.500      180.500      186.500      192.750
      199.250      205.750      214.250      223.000      232.250      241.750
      251.500      261.750      272.250      283.250      294.750      306.500
      318.750      331.500      344.750      358.500      372.750      387.500
      402.750      418.500      434.750      451.750      469.250      487.500
      506.250      529.750      554.250      579.750      606.500      634.250
      663.250      693.500      725.250      763.750      804.250      846.750
      891.500      938.500      988.000      1040.00      1100.00      1200.00
      1300.00      1400.00      1500.00      1600.00      1700.00      1800.00
      1900.00      2000.00      2200.00      2400.00      2600.00      2800.00
      3000.00      3200.00      3400.00      3600.00      3800.00      4000.00
      4500.00      5000.00      5500.00      6000.00      6500.00      7000.00
      7500.00      8000.00      8500.00      9000.00      9500.00      10000.0
      13000.0      16000.0      20000.0
